factor,signal_date,Q1,Q2,Q3,Q4,Q5,Q1_minus_Q5
intraday_range,2026-01-09,1.34716498,1.34545702,1.39905295,1.42735918,0.76948820,1.71303891
intraday_range,2026-01-12,1.34548138,1.34321430,1.40124645,1.41727599,0.75816737,1.73610057
intraday_range,2026-01-13,1.34651344,1.34876914,1.40454368,1.41885504,0.76537058,1.72093787
intraday_range,2026-01-14,1.34799996,1.35693300,1.41005922,1.41633916,0.75525934,1.74557290
intraday_range,2026-01-15,1.34281621,1.35489495,1.41408682,1.41235887,0.74178254,1.77000818
intraday_range,2026-01-16,1.36219989,1.37895278,1.44014438,1.43438527,0.74849061,1.77955192
intraday_range,2026-01-19,1.36886339,1.38780072,1.44307499,1.43162726,0.74635957,1.79332358
intraday_range,2026-01-20,1.37983123,1.39488418,1.45138012,1.44772007,0.75173980,1.79476494
intraday_range,2026-01-21,1.39522137,1.41214607,1.47052602,1.45452923,0.75865212,1.79828006
intraday_range,2026-01-22,1.39901212,1.43385913,1.49470294,1.47007839,0.76730940,1.78264502
intraday_range,2026-01-23,1.40420043,1.43583702,1.49486941,1.46947388,0.75362074,1.82105811
intraday_range,2026-01-26,1.38935119,1.42887054,1.48738239,1.46101892,0.74947549,1.81181730
intraday_range,2026-01-27,1.38919297,1.42483694,1.46992667,1.44813463,0.74006700,1.83435549
intraday_range,2026-01-28,1.39447830,1.42096810,1.46977382,1.43203546,0.72625401,1.87557184
intraday_range,2026-01-29,1.39451710,1.43022680,1.48527014,1.43927732,0.72046830,1.89056578
intraday_range,2026-01-30,1.37869797,1.40559136,1.46059594,1.40104663,0.70158185,1.91867910
intraday_range,2026-02-02,1.38848862,1.42892086,1.48917899,1.42505000,0.72412581,1.87065137
intraday_range,2026-02-03,1.40108697,1.44330164,1.49737616,1.43490322,0.72267283,1.89137811
intraday_range,2026-02-04,1.41106222,1.43980880,1.48342838,1.42229238,0.71261332,1.93117179
intraday_range,2026-02-05,1.41917657,1.44659966,1.49592466,1.43111342,0.71740187,1.92930015
intraday_range,2026-02-06,1.43303986,1.47131542,1.52650866,1.45697836,0.72870927,1.91773775
intraday_range,2026-02-09,1.44008705,1.47511953,1.52832590,1.47437316,0.72885834,1.92677620
intraday_range,2026-02-10,1.44564535,1.47734633,1.53221858,1.46543009,0.71676837,1.96617345
intraday_range,2026-02-11,1.43409763,1.46821343,1.51718292,1.45236365,0.71138201,1.96524319
intraday_range,2026-02-12,1.42843496,1.45839829,1.50961076,1.43666881,0.70044293,1.98770320
intraday_range,2026-02-13,1.45224124,1.48670631,1.55021088,1.45688567,0.70508096,2.00766851
intraday_range,2026-02-24,1.46283474,1.49178887,1.57068485,1.47894392,0.71256870,2.00099283
intraday_range,2026-02-25,1.46528911,1.48823677,1.56761574,1.48927937,0.71248231,2.00459273
intraday_range,2026-02-26,1.47155010,1.49450355,1.58206462,1.50331151,0.71694546,2.00060088
intraday_range,2026-02-27,1.44297224,1.46763482,1.55295023,1.48612363,0.70649467,1.99091113
intraday_range,2026-03-02,1.43259919,1.43665770,1.51282976,1.44310936,0.68318440,2.04228777
intraday_range,2026-03-03,1.41738204,1.43094274,1.50677561,1.43898618,0.67110521,2.05670358
intraday_range,2026-03-04,1.43204845,1.44728255,1.53046854,1.44922145,0.67398740,2.06915248
intraday_range,2026-03-05,1.45825476,1.48350097,1.56477319,1.48846393,0.67884124,2.09211634
intraday_range,2026-03-06,1.45502558,1.47492398,1.55177489,1.47956291,0.67568236,2.09721887
intraday_range,2026-03-09,1.47349172,1.49790445,1.57941608,1.50185861,0.67437788,2.12788418
intraday_range,2026-03-10,1.47317919,1.49386890,1.57817608,1.50103487,0.67524953,2.12468251
intraday_range,2026-03-11,1.47059850,1.48293302,1.57566452,1.48845878,0.67058295,2.13564399
intraday_range,2026-03-12,1.47760680,1.47449236,1.57397687,1.48270073,0.65947927,2.18118416
intraday_range,2026-03-13,1.48336622,1.47371022,1.58357477,1.47719562,0.65775611,2.19538523
intraday_range,2026-03-16,1.47152502,1.44961705,1.55012981,1.44696638,0.64203305,2.23033893
intraday_range,2026-03-17,1.47277094,1.47027075,1.56477259,1.45760062,0.64564863,2.21966725
intraday_range,2026-03-18,1.45427183,1.43914921,1.53036960,1.42097243,0.62729949,2.25486882
intraday_range,2026-03-19,1.43360856,1.41068115,1.49016623,1.38240722,0.60611489,2.29897958
intraday_range,2026-03-20,1.36271184,1.34042758,1.40396039,1.30462143,0.56799224,2.32988570
intraday_range,2026-03-23,1.39037589,1.38886795,1.46173785,1.36258652,0.58935987,2.28953476
intraday_range,2026-03-24,1.41141821,1.40782702,1.49181232,1.39195113,0.60176443,2.27599619
intraday_range,2026-03-25,1.39341934,1.38983399,1.46863334,1.37596151,0.59147455,2.28589036
intraday_range,2026-03-26,1.40858904,1.41778830,1.48894527,1.39796029,0.60045874,2.27605461
intraday_range,2026-03-27,1.40929223,1.42345657,1.49166244,1.40131574,0.60225543,2.27038045
intraday_range,2026-03-30,1.39427702,1.40800130,1.46385259,1.38187269,0.58661382,2.30515652
intraday_range,2026-03-31,1.41301851,1.42560784,1.48686587,1.40070137,0.58929864,2.32559153
intraday_range,2026-04-01,1.39751952,1.40406533,1.46264731,1.37993866,0.57471698,2.35762744
intraday_range,2026-04-02,1.36335025,1.37168366,1.41677982,1.33327535,0.55814306,2.36797381
intraday_range,2026-04-03,1.37826914,1.39243622,1.45160920,1.35707421,0.57582185,2.31888220
intraday_range,2026-04-07,1.42289857,1.44355529,1.49910083,1.39385729,0.58858464,2.34257260
intraday_range,2026-04-08,1.40580044,1.42095754,1.48151231,1.37696752,0.58018455,2.34785573
intraday_range,2026-04-09,1.41914426,1.44680345,1.50026688,1.38699119,0.58220980,2.36194586
intraday_range,2026-04-10,1.41920021,1.44822494,1.49157518,1.38633612,0.58285873,2.35940637
intraday_range,2026-04-13,1.42529585,1.45155754,1.50664655,1.38867856,0.58817749,2.34801000
intraday_range,2026-04-14,1.41984732,1.44338251,1.50100668,1.37695478,0.58013683,2.37113257
intraday_range,2026-04-15,1.42983364,1.46427496,1.52505616,1.40317213,0.58859692,2.35323159
intraday_range,2026-04-16,1.42419295,1.45127213,1.52313690,1.40122310,0.59118261,2.33361043
intraday_range,2026-04-17,1.43005284,1.46037405,1.53922344,1.41471671,0.60024745,2.30742998
intraday_range,2026-04-20,1.43147865,1.45272807,1.54391440,1.41885783,0.59644381,2.32435223
intraday_range,2026-04-21,1.42912871,1.45422957,1.54625973,1.42031488,0.59941498,2.30895783
intraday_range,2026-04-22,1.42556926,1.44385146,1.52170146,1.40995644,0.59206396,2.33152334
intraday_range,2026-04-23,1.42334657,1.44131765,1.51766688,1.40879195,0.59177371,2.32903111
intraday_range,2026-04-24,1.42467902,1.44382824,1.53643476,1.42335715,0.59758541,2.30833842
intraday_range,2026-04-27,1.42040515,1.43639079,1.53345569,1.41285297,0.59520789,2.31059748
intraday_range,2026-04-28,1.43635077,1.45551278,1.56467909,1.43395533,0.60139998,2.31249883
intraday_range,2026-04-29,1.43696682,1.45715689,1.56076616,1.44266678,0.60455406,2.30136262
intraday_range,2026-04-30,1.44478399,1.46519362,1.57409451,1.45745112,0.60925876,2.29597269
intraday_range,2026-05-06,1.44305785,1.47141685,1.58536935,1.47094203,0.61668361,2.26524928
intraday_range,2026-05-07,1.44776211,1.48376469,1.60148813,1.49258639,0.62655150,2.23638634
intraday_range,2026-05-08,1.44716405,1.49054438,1.60900106,1.50667186,0.63540559,2.20385910
intraday_range,2026-05-11,1.43433374,1.47267542,1.58295204,1.48589068,0.62234443,2.22962177
intraday_range,2026-05-12,1.43412133,1.48718798,1.59867196,1.49105613,0.62708467,2.21230910
intraday_range,2026-05-13,1.41966247,1.46415246,1.57875151,1.47360525,0.61367624,2.23730848
intraday_range,2026-05-14,1.40793810,1.45390962,1.56702815,1.46378171,0.60941798,2.23435608
intraday_range,2026-05-15,1.39807105,1.45220386,1.56953139,1.47166705,0.61047229,2.21483185
intraday_range,2026-05-18,1.41274841,1.46227044,1.57427254,1.48419390,0.61773184,2.21174571
intraday_range,2026-05-19,1.39883458,1.44952498,1.55709783,1.46136258,0.62043727,2.18027617
intraday_range,2026-05-20,1.36758839,1.40753383,1.51240863,1.41779312,0.60284647,2.19339045
intraday_range,2026-05-21,1.36508240,1.42628315,1.53574675,1.44637941,0.62002420,2.12687195
intraday_range,2026-05-22,1.36024898,1.42268064,1.52304110,1.44199674,0.61958520,2.12084712
intraday_range,2026-05-25,1.35169995,1.40392733,1.49702275,1.42377012,0.61178656,2.13421263
intraday_range,2026-05-26,1.32943460,1.37702378,1.47381114,1.39289261,0.59691725,2.15092912
intraday_range,2026-05-27,1.32675843,1.38101705,1.49013752,1.40256003,0.60004090,2.13534353
intraday_range,2026-05-28,1.32546808,1.36452323,1.46939185,1.36995221,0.58556762,2.18477231
intraday_range,2026-05-29,1.36017314,1.40265284,1.50601408,1.40712747,0.58722795,2.23578200
intraday_range,2026-06-01,1.35082530,1.37665513,1.48112033,1.37723234,0.58332085,2.23529220
intraday_range,2026-06-02,1.33581397,1.36477689,1.46590485,1.37083253,0.58074268,2.22033164
intraday_range,2026-06-03,1.31526894,1.34564201,1.44711650,1.35029136,0.57623569,2.20341397
intraday_range,2026-06-04,1.32708839,1.35894670,1.45737348,1.36587904,0.57494529,2.22814884
intraday_range,2026-06-05,1.30348653,1.32122088,1.41809139,1.32616609,0.56102767,2.24245839
intraday_range,2026-06-08,1.30576740,1.32469204,1.43267708,1.33598669,0.57337011,2.19704889
intraday_range,2026-06-09,1.30369352,1.31289847,1.41393242,1.32262393,0.56568218,2.22301814
intraday_range,2026-06-10,1.29415310,1.30682948,1.40613356,1.30155150,0.55668930,2.24209036
intraday_range,2026-06-11,1.31599970,1.32903830,1.42642631,1.31634845,0.55790941,2.27502503
intraday_range,2026-06-12,1.32441993,1.33016793,1.44315514,1.33604069,0.56883518,2.24502871
intraday_range,2026-06-15,1.31639156,1.33676782,1.44450803,1.35153456,0.57335367,2.21358658
intraday_range,2026-06-16,1.29443203,1.31409442,1.42642771,1.33953390,0.57195544,2.18205866
intraday_range,2026-06-17,1.28724750,1.30330556,1.41881675,1.33737959,0.56574474,2.19364186
intraday_range,2026-06-18,1.28741892,1.31012463,1.42288764,1.34909834,0.56909352,2.18094927
intraday_range,2026-06-22,1.29382313,1.31709676,1.43011607,1.35441422,0.56516068,2.20687021
intraday_range,2026-06-23,1.26235166,1.28526133,1.40704479,1.33870704,0.55450182,2.19481072
intraday_range,2026-06-24,1.24523343,1.26646566,1.37606479,1.32142511,0.54353616,2.20845173
intraday_range,2026-06-25,1.21866225,1.23380827,1.33836910,1.28968655,0.52854737,2.22222831
intraday_range,2026-06-26,1.22177742,1.23796832,1.34348060,1.27722356,0.52256297,2.25306967
intraday_range,2026-06-29,1.22145315,1.24232097,1.34202410,1.27637895,0.53456362,2.20072999
volume_price_corr_20d,2025-04-16,1.00565128,1.00834333,1.00562128,1.00900773,1.00841668,0.99723460
volume_price_corr_20d,2025-04-17,1.00622011,1.01385679,1.00933654,1.00099082,0.99973453,1.00638455
volume_price_corr_20d,2025-04-18,1.02147618,1.02592144,1.02386844,1.01515651,1.00820562,1.01311567
